n,d,pval,test
30,1,0.1681604763396508,LjungBox
30,1,0.06324034377966324,LjungBox
30,1,0.037039331181298527,LjungBox
30,1,0.333056957571629,LjungBox
30,1,6.105923502752506e-05,LjungBox
30,1,0.15175929581140432,LjungBox
30,1,0.0077677263010892325,LjungBox
30,1,0.06601907984365347,LjungBox
30,1,0.02334753108946655,LjungBox
30,1,0.013753781005986607,LjungBox
30,1,0.004281833594105283,LjungBox
30,1,0.0004974496684805927,LjungBox
30,1,0.001110552412321884,LjungBox
30,1,0.0014125873887752664,LjungBox
30,1,0.00874226671565438,LjungBox
30,1,0.013207407043899238,LjungBox
30,1,7.311274028136514e-05,LjungBox
30,1,0.05413310524859473,LjungBox
30,1,0.46010633532437795,LjungBox
30,1,0.10586415381717354,LjungBox
30,1,0.00011445410508790488,LjungBox
30,1,0.02128618413091625,LjungBox
30,1,0.000553728662919743,LjungBox
30,1,0.0002144421049764435,LjungBox
30,1,0.0003008778470514403,LjungBox
30,1,0.0012361801511440475,LjungBox
30,1,0.002870045035242819,LjungBox
30,1,0.0015765764103730052,LjungBox
30,1,0.0028960638141914516,LjungBox
30,1,0.001896008969961347,LjungBox
30,1,0.006693455480266536,LjungBox
30,1,1.0159160392064726e-05,LjungBox
30,1,0.00028251251333519044,LjungBox
30,1,0.08185290837138375,LjungBox
30,1,0.002759022943307796,LjungBox
30,1,0.024833319196067096,LjungBox
30,1,0.007343892016698655,LjungBox
30,1,0.026321716557036773,LjungBox
30,1,0.11016748952164972,LjungBox
30,1,0.004324483288346969,LjungBox
30,1,0.4385745514853524,LjungBox
30,1,0.0006402970725272621,LjungBox
30,1,0.000459697034420945,LjungBox
30,1,0.6576987493502429,LjungBox
30,1,7.051538581127157e-05,LjungBox
30,1,0.08228848397678122,LjungBox
30,1,0.00016639997754851568,LjungBox
30,1,0.005072181360422475,LjungBox
30,1,0.0034071015122242526,LjungBox
30,1,0.019860230332526624,LjungBox
30,1,0.013513986119666976,LjungBox
30,1,0.3212186841457644,LjungBox
30,1,0.0003570882761492152,LjungBox
30,1,0.0772096805182668,LjungBox
30,1,0.00034712080702713514,LjungBox
30,1,0.0014427453889889466,LjungBox
30,1,0.01662700956894856,LjungBox
30,1,0.005389601672779442,LjungBox
30,1,0.000328935903611257,LjungBox
30,1,0.8615869190739625,LjungBox
30,1,0.0024177345313243148,LjungBox
30,1,0.0007356432709087816,LjungBox
30,1,0.06357163992567647,LjungBox
30,1,0.004137945830429077,LjungBox
30,1,0.08509684581157358,LjungBox
30,1,0.00018989508450936222,LjungBox
30,1,0.0018317191868780266,LjungBox
30,1,0.0041591134355941925,LjungBox
30,1,0.025502191035451195,LjungBox
30,1,0.015585093940294219,LjungBox
30,1,0.0001257773345613875,LjungBox
30,1,0.01143657192171935,LjungBox
30,1,0.0002830156474394476,LjungBox
30,1,0.038171303662974845,LjungBox
30,1,0.08453189113468215,LjungBox
30,1,0.0025690744702700783,LjungBox
30,1,0.00014914166130483675,LjungBox
30,1,0.16348084934100854,LjungBox
30,1,0.0036430250657086423,LjungBox
30,1,0.00010249830657452698,LjungBox
30,1,0.021793806284422963,LjungBox
30,1,0.1436719230700714,LjungBox
30,1,0.0006544648774027981,LjungBox
30,1,0.00020957239418162822,LjungBox
30,1,0.05762199449616047,LjungBox
30,1,1.6944255219956845e-05,LjungBox
30,1,0.00023417004140611572,LjungBox
30,1,0.004937450913385623,LjungBox
30,1,0.11546614243001192,LjungBox
30,1,0.021184886521062127,LjungBox
30,1,0.0017723185075148432,LjungBox
30,1,0.0027989537550461617,LjungBox
30,1,0.04526258291757182,LjungBox
30,1,0.012775186633630897,LjungBox
30,1,0.022557708233338445,LjungBox
30,1,0.0009340450713967261,LjungBox
30,1,0.0015481026323056753,LjungBox
30,1,0.002697776647659964,LjungBox
30,1,0.00022101444842995241,LjungBox
30,1,0.00860956684932661,LjungBox
30,1,0.0002977017007271985,LjungBox
30,1,0.0379032945614414,LjungBox
30,1,0.06030564172618785,LjungBox
30,1,0.027089118931669202,LjungBox
30,1,0.0010126567078242378,LjungBox
30,1,0.0021592367123865644,LjungBox
30,1,0.0027605185327335565,LjungBox
30,1,0.0003241058191894238,LjungBox
30,1,0.008991983607519722,LjungBox
